branchname,district,division,region,state,pincode
Narayankhed,Medak,Sangareddy,Hyderabad,Telangana,502286
Akot,Akola,Akola,Nagpur,Maharashtra,444101
Amrapara,Pakur,Santhal Parganas,Ranchi,Jharkhand,814111
Sompeta,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532284
Virajpet,Kodagu,Kodagu,South Karnataka,Karnataka,571218
Fattepur,Bahraich,Bahraich,Gorakhpur,Uttar Pradesh,271825
KANWAT,none,none,none,none,none
Kadur,Chittoor,Tirupati,Kurnool,Andhra Pradesh,517541
NEW,none,none,none,none,none
Baisi,Purnia,Purnea,Muzaffarpur,Bihar,854315
Salur,Sivaganga,Sivaganga,Madurai,Tamil Nadu,630562
Talod,Ratlam,Ratlam,Indore,Madhya Pradesh,457114
Belur,Haveri,Haveri,North Karnataka,Karnataka,581211
SONEPAT,none,none,none,none,none
Baripada,Mayurbhanj,Mayurbhanj,Bhubaneswar HQ,Odisha,757001
Sedam,Gulbarga,Gulbarga,North Karnataka,Karnataka,585222
UDIPI,none,none,none,none,none
GARHSHANKAR,none,none,none,none,none
GARHSHANKAR,none,none,none,none,none
Deori,Janjgir-champa,Bilaspur,Raipur,Chattisgarh,495689
Agartala,West Tripura,Agartala,Shillong HQ,Tripura,799001
PAIKAMAL,none,none,none,none,none
Babina,Jalaun,Jhansi,Agra,Uttar Pradesh,285203
MURADNAGAR,none,none,none,none,none
Soro,Baleswar,Balasore,Bhubaneswar HQ,Odisha,756045
BARHARWA,none,none,none,none,none
Bhuban,Dhenkanal,Dhenkanal,Sambalpur,Odisha,759017
M,none,none,none,none,none
Bidar,Bidar,Bidar,North Karnataka,Karnataka,585401
Silvassa,Dadra & Nagar Haveli,Valsad,Vadodara,Dadra & Nagar Haveli,396230
Bishrampur,Raipur,Raipur,Raipur,Chattisgarh,493101
Bhabua,Kaimur (Bhabua),Rohtas,Patna HQ,Bihar,821101
SITAI,none,none,none,none,none
Chanasma,Patan,Patan,Ahmedabad HQ,Gujarat,384220
Keshkal,Bastar,Bastar,Raipur,Chattisgarh,494331
Sindewahi,Chandrapur,Chandrapur,Nagpur,Maharashtra,441222
Robertsganj,Sonbhadra,Mirzapur,Allahabad,Uttar Pradesh,231216
Dandeli,Uttara Kannada,Sirsi,North Karnataka,Karnataka,581325
SEVALIYA,none,none,none,none,none
